Manufacturer,Country
Riley,United Kingdom
Marcos,United Kingdom
GAZ,Russian Federation
Checker,United States
Talbot,France
AJS,United Kingdom
Glas,Germany
Acura,United States
Iveco Bus,Italy
Le Voyageur,France
Excalibur,United States
DeLorean,United States
Irisbus,France
Wartburg,Germany
Bellier,France
Kewet,Norway
LEVC,United Kingdom
Alvis,United Kingdom
Neckar,Germany
Reliant,United Kingdom
Tamlans,Finland
LaSalle,United States
JAC,China
Koenigsegg,Sweden
Panhard,France
Adler,Germany
Jösse Car,Sweden
Kaiser,United States
Roush,United States
Think,United States
Mahindra,India
Bertone,Italy
Ginetta,United Kingdom
Humber,United Kingdom
Saleen,United States
International Harvester,United States
Pininfarina,Italy
Scion,United States
Solifer,Finland
UAZ,Russian Federation
Zastava,Serbia
Singer,United Kingdom
Tatra,Czechia
Bugatti,France
IFA,Germany
Moskvich,Russian Federation
Ariel,United Kingdom
Essex,United States
Meteor,Canada
Armstrong Siddeley,United Kingdom
Steyr-Daimler-Puch,Austria
Sunlight,Germany
EV Adapt,Sweden
Jowett,United Kingdom
Micro,Switzerland
Iso,Italy
Skywell,China
Fordson,United States
Polar,Sweden
Eagle,United States
Henry J,United States
Amphicar,Germany
Auburn,United States
Carbodies,United Kingdom
ECar,Sweden
Fargo,United States
FSO,Poland
Monarch,Canada
Panther,United Kingdom
Amilcar,France
Hupmobile,United States
Saturn,United States
Trojan,United Kingdom
Whippet,United States
ZAZ,Ukraine
Zimmer,United States
Erskine,United States
Lusitano,Sweden
AEC,United Kingdom
BAW,China
Bristol,United Kingdom
Frazer,United States
Ghia,Italy
Holden,Australia
Lagonda,United Kingdom
LTI,United Kingdom
Seres,China
VIS,Russian Federation
Allard,United Kingdom
Bond,United Kingdom
Brabus,Germany
Dreamer,France
Fram-King,Sweden
Goliath,Germany
Horch,Germany
Pollmann,Germany
REO,United States
Santana,Spain
Wanderer,Germany
Wey,China
AM General,United States
Cord,United States
Delahaye,France
EMW,Germany
Geely,China
Graham-Paige,United States
NEVS,Sweden
Radical,United Kingdom
Thulin,Sweden
Vanden Plas,United Kingdom
Vespa,France
Wiesmann,Germany
Clipper,United States
Facel Vega,France
Geo,United States
Karma,United States
KVAB,Sweden
Lanchester,United Kingdom
RUF,Germany
SILCCO,United States
SS Car,United Kingdom
Avanti,United States
BAC,United Kingdom
Bitter,Germany
Brilliance,China
BSA Motorcycles,United Kingdom
Callaway,United States
De Dion-Bouton,France
Ford Trucks,United States
Hansa,Germany
Innocenti,Italy
Lea-Francis,United Kingdom
Lombardi,Italy
Maruti Suzuki,India
Noble,United Kingdom
Oakland,United States
Scania-Vabis,Sweden
Spectre,United Kingdom
Stutz,United States
Suecia,Sweden
Ultima,United Kingdom
Viotti,Italy
AGA,Germany
American Bantam,United States
Asia,"Korea, Republic of"
Avions Voisin,France
B.S.A.,United Kingdom
Barkas,Germany
Caresto,Sweden
Clénet,United States
CMC,United States
Commer,United Kingdom
Crossley,United Kingdom
Franklin,United States
Great Wall,China
HEICO,Germany
Hennessey,United States
Kleinschnittger,Germany
LDV,United Kingdom
Leopard,Poland
Lomax,United Kingdom
Maybach,Germany
Panther Motorcycles,United Kingdom
Proton,Malaysia
Puma,Brazil
RGNT,Sweden
RTR,United States
Star,United States
Tourne Mobil,Slovenia
Vest,Norway
Zhidou,China
Aero,Czechia
Aixam-Mega,France
Arnolt,United States
ASC,United States
Asquith Motors,United Kingdom
Autozam,Japan
AWZ,Germany
Baker Electric,United States
Belsize,United Kingdom
Berliet,France
BINZ,Germany
Bizzarrini,Italy
Bob,Germany
Bricklin,Canada
Chalmers,United States
Chandler,United States
Columbia Motors,United States
Commonwealth,United States
Cottereau,France
Dallara,Italy
Darracq,France
Delage,France
Delin,Belgium
Denzel,Austria
Donkervoort,Netherlands
E-M-F,United States
Emgrand,China
ERL,Sweden
Frazer Nash-BMW,Germany
Fuldamobil,Germany
Genesis,"Korea, Republic of"
Giottiline,Italy
Glasspar,United States
Healey,United Kingdom
Henney,United States
Hoffmann,Germany
Holsman,United States
Hotchkiss,France
HRG,United Kingdom
IMZ,Russian Federation
Kleemann,Denmark
Lenham,United Kingdom
Lola,United Kingdom
Lorraine-Dietrich,France
Lucid Motors,United States
MAF,Germany
Marmon,United States
Meteor (US),United States
Meyra,Germany
Minerva,Belgium
Mitsuoka,Japan
Mobility Ventures,United States
Monaco RV,United States
Monteverdi,Switzerland
Moretti,Italy
Muntz,United States
O.S.C.A.,Italy
OK-Supreme,United Kingdom
Orient,United States
Oryx,Germany
Overland,United States
Pierce-Arrow,United States
Pope-Toledo,United States
Priamus,Germany
Princess,United Kingdom
Rockne,United States
Rolland-Pilain,France
Roosevelt,United States
Rosengart,France
Rud. Ley,Germany
Rugby,United States
S.A.R.A.,France
Savio,Italy
Siata,Italy
Stanley,United States
Startins,United Kingdom
Steyr-Fiat,Austria
Stoewer,Poland
Swallow,United Kingdom
TechArt,Germany
Terraplane,United States
The Detroit Eletric,United States
U. S. Long Distance,United States
Vabis,Sweden
Velocette,United Kingdom
Veritas,Germany
Vignale,Italy
Wolseley-Siddeley,United Kingdom
Zagato,Italy
Zündapp,Germany
A.J. Miller,United States
A.L.F.A.,Italy
AAC,Italy
Aaglander,Germany
AAR,United States
Abadal,Spain
Abbott-Detroit,United States
AC Propulsion,United States
AC Schnitzer,Germany
Acadian,Canada
Access Motor,"Taiwan, Province of China"
Acme,United States
Adam,Pakistan
Adams-Farwell,United States
Adly,"Taiwan, Province of China"
Aeolus,China
Aeon,United Kingdom
Aeon Motor,China
AEV,United States
Afeela,Japan
Aion,China
Aitekx,United States
AITO,China
Ajax,United States
Aland,United States
Albar,Switzerland
Albion,United Kingdom
ALCO,United States
Alin,China
Alldays & Onions,United Kingdom
Allemano,Italy
Allen,United States
Allen Iron & Steel,United States
Allgaier,Germany
Alpheon,"Korea, Republic of"
Altas,Lithuania
American,United States
American Austin,United States
American LaFrance,United States
Amigo,United States
Anadol,Türkiye
Analogue Automotive,United Kingdom
Anasagasti,Argentina
Anderson,United States
Apocalypse,United States
Apollo,Germany
Apollo (1962),United States
Apperson,United States
Applus+ IDIADA,Spain
Arab,United Kingdom
Arash,United Kingdom
Arcfox,China
Arden,Germany
Argyll,United Kingdom
ARK,United Kingdom
Aro,Romania
Arrinera,Poland
Arrol-Johnston,United Kingdom
Artega,Germany
Artz,Germany
AS Domžale,Slovenia
ASA,Italy
Ascari,United Kingdom
Ascot-Pullin Motorcycles,United Kingdom
Ashley,United Kingdom
Aspark,Japan
Aspid,Spain
Asüna,Canada
Atala,Italy
Atalanta,United Kingdom
ATS,Italy
AUDI (CN),China
Aurus,Russian Federation
Austro-Daimler,Austria
Autobacs,Japan
Autocar,United States
Automobiles Grégoire,France
Automobili Amos,Italy
Automobili Mignatta,Italy
Automobili Pininfarina,Germany
Autoped,United States
Autostudi,Italy
Avatar,United Kingdom
Avatr,China
B Engineering,Italy
BAIC,China
Bailey Electric,United States
Balbo,Italy
Ballot,France
Baltasar,Spain
Baltijas Džips,Latvia
Bandini,Italy
Baojun,China
Barnard,South Africa
Barré,France
Bean Cars,United Kingdom
Beaumont,Canada
Beijing,China
Beijing Jeep,China
Bellanger,France
Beltoise,France
Bengala,Spain
Bennie Automobile,Nigeria
Benz,Germany
Berg,United States
Berkeley,United Kingdom
Bestune,China
Besturn,China
Bianco,Brazil
Biddle,United States
Bieber,Germany
Bimota,Italy
Bio Auto,China
Bird Motorcycles,United States
Bisu,China
Blaval,China
BMC,United Kingdom
Boano,Italy
Bodin,Sweden
Bogdan,Ukraine
Bollinger,United States
Bolloré,France
Bolwell,Australia
Boneschi,Italy
Bovensiepen,Germany
Brabham,United Kingdom
Brasier,France
Brasinca,Brazil
Bravia-Mobil,Slovenia
Brennabor,Germany
Briscoe,United States
BRM,United Kingdom
Brooke & Company,United Kingdom
Brooke Cars,United Kingdom
BRP,Canada
Brush,United States
Brush Electrical Engineering,United Kingdom
Brush Traction,United Kingdom
Bucciali,France
Bufori,Malaysia
Burton,Netherlands
Byton,China
Cabby,Sweden
Cagiva,Italy
Calcott,United Kingdom
Calthorpe,United Kingdom
Cameron,United States
Campagna,Canada
CANAM,United States
Caparo,United Kingdom
Capricorn,Germany
Carlex,Poland
Carlsson,Germany
Cartercar,United States
Carver,Netherlands
Castagna,Italy
Catlin,Sweden
CAV,South Africa
Ceirano,Italy
CGV,France
Chalmers-Detroit,United States
Chamonix,Brazil
Champion,Germany
Changan,China
Changfeng,China
Changhe,China
Charron,France
Cheetah,United States
Chenard-Walcker,France
Chery,China
Chipie,France
Christie,United States
CHTC,China
Chuanl,China
Ciimo,China
Cisitalia,Italy
City Transformer,Israel
Cizeta,Italy
Clément & Cie,France
Clément-Bayard,France
Cleveland,United States
Clyno,United Kingdom
CMC (TW),"Taiwan, Province of China"
Cobera,Hungary
Coda,United States
Colani,Germany
Cole,United States
Coleman Milne,United Kingdom
Colli,Italy
Columbia,United States
Compound,United States
Connaught,United Kingdom
Conquest Vehicles,United States
Conrero,Italy
Cooper,United Kingdom
Coradir,Argentina
Corbellati,Italy
Corbin,United States
Corre La Licorne,France
Costin,China
Cottin & Desgouttes,France
Cournil,France
Covert,United States
Covin,Italy
Cowin,China
CPI Motor,"Taiwan, Province of China"
Crayford,United Kingdom
Crosley,United States
Crouch,United States
Cunningham,United States
Cushman,United States
Czinger,United States
Dacora,United States
Dadi,China
dÄHLer,Switzerland
Daimler MG,Germany
Dartz,Latvia
Dauer,Germany
David Brown,United Kingdom
Davis,Germany
DB,France
DC Design,India
De Dietrich,France
De La Chapelle,France
Deepal,China
Dellow,United Kingdom
Denza,China
Derways,Russian Federation
Detroit Electric,United States
Detroiter,United States
DEUS,Austria
Devaliet,France
Devalliet,France
Devel,United Arab Emirates
Devon,United States
Diamond T,United States
Diatto,Italy
Dickinson,United Kingdom
Dinan,United States
Dongfeng,China
Doninvest,Russian Federation
Dorcen,China
Dorris,United States
DR,Italy
Dragon,United States
Drako,United States
Dual-Ghia,United States
Duesenberg,United States
duPont,United States
Durant,United States
Duryea,United States
Duryea Power,United States
Eadon Green,United Kingdom
EBRO,Spain
Eccentrica,San Marino
Ecoist,Sweden
EDAG,Germany
Edo Competition,Germany
Elcat,Finland
Eldredge,United States
Electromobile (UK),United Kingdom
Elemental,United Kingdom
Elfin,Australia
Elizalde,Spain
Elmore,United States
Elstar Motorcycles,United Kingdom
Elva,United Kingdom
Emme,Brazil
Encor,United Kingdom
Engler,United Kingdom
Englon,China
Eniak,Argentina
Enovate,China
Enranger,China
Envoy,Canada
Eon Motors,France
Ermini,Italy
Estrema,Italy
Eterniti,United Kingdom
Etrusco,Germany
Eunos,Japan
Eureka,United States
Everus,China
EVO,Italy
EVT,"Taiwan, Province of China"
Exagon,France
Exeed,China
Exlantix,China
eπ,China
FAB Design,Switzerland
Factory Five,United States
Fairthorpe,United Kingdom
Falcon,United States
Faraday Future,United States
Farboud,United Kingdom
Farnova,China
Faun,Germany
FAW,China
Federal Coach,United States
Felber,Austria
Felino,Canada
Fendt,Germany
Fengshen,China
Fengxing,China
FENIKSBUS,Serbia
Fenomenon,United Kingdom
Ferqui,Spain
Firefly,China
Flint,United States
Flying Merkel,United States
FN,Belgium
FNM,Brazil
Foday,China
Fogelsta,Sweden
Force,India
Ford-Vairogs,Latvia
Fornasari,Italy
Forthing,China
Forveda,Lithuania
Foton,China
Fox,United States
Foxtron,"Taiwan, Province of China"
FPV,Australia
Francis Lombardi,Italy
Frazer Nash,United Kingdom
Fredonia,United States
Freelander,China
Freightliner,United States
Frisky,United Kingdom
G-Power,Germany
GAC,China
Galpin,United States
Garavini,Italy
Gardner-Serpollet,France
GEM,United States
Gemballa,Germany
General Motors,United States
Genty,France
Geometry,China
GFG Style,Italy
Giamaro Automobili,Italy
Gilbern,United Kingdom
Gillet,Belgium
Gladiator,France
Gleagle,China
GLM,Japan
Gobron-Brillié,France
Gonow,China
Gordon Murray,United Kingdom
Grade,Germany
Grant,United States
Grech RV,United States
Greeves Motorcycles,United Kingdom
Grenville,United Kingdom
Griffith,United States
Grout,United States
Grumman,United States
GSC,Germany
GTA Motor,Spain
GTM,United Kingdom
Gumpert,Germany
Gumpert AIWAYS,Germany
Gurgel,Brazil
Gutbrod,Germany
H.E. Hall & co.,United Kingdom
Hafei,China
Haima,China
Hamann,Germany
Hamelbot,Argentina
Hanomag,Germany
Hanomag-Henschel,Germany
Hansa-Lloyd,Germany
Hanteng,China
Hardman,United States
Harrods,United Kingdom
Hartge,Germany
Harvard,United States
Haval,China
Hawtai,China
Haynes-Apperson,United States
Hehn Mobil,Germany
Henschel,Germany
Hess & Eisenhardt,United States
Hindustan,India
Hino,Japan
HiPhi,China
Hispano-Suiza,Spain
HM Vehicles,United States
Home-Car,Belgium
Hommell,France
Hopium,France
Horex,Germany
Horwin,China
HSV,Australia
HTT,Canada
Huanghai,China
Huansu,China
Huasong,China
Hugos,Sweden
Hulme,New Zealand
Hurtan,Spain
Hurtu,France
Hybrid Kinetic,China
Hycan,China
Hyperion,United States
I.DE.A,Italy
IAT,China
iCar,China
iCaur,China
Icona,China
Iconiq Motors,United Arab Emirates
IFR Automotive,Spain
IKA,Argentina
IKCO,"Iran, Islamic Republic of"
IM,China
Indcar,Spain
INDI,United States
Inferno,Mexico
Innocenti Scooter,Italy
Innoson,Nigeria
Inter-State,United States
Intermeccanica,Italy
Invacar,United Kingdom
Invicta,United Kingdom
Irmãos Mota,Portugal
Isdera,Germany
Isotta Fraschini,Italy
Italdesign,Italy
IVM,Nigeria
Izh,Russian Federation
Jaecoo,China
Jannarelly,United Arab Emirates
Jawa,Czechia
Jeffery,United States
Jetour,China
Jetta,China
Jiangling,China
Jiangnan,China
Jianshe,China
Jinbei,China
Jishi,China
Jiyue,China
Johnson,United States
Jonway,China
Jordan,United States
Joss,Australia
Jurassic Truck,United States
Kahn Design,United Kingdom
Kaipan,Czechia
Kandi,China
Karabag,Germany
KAvZ,Russian Federation
Kawei,China
Kellison,United States
Ken Okuyama Design,Japan
Kentucky Camp,United Kingdom
Khazar,Azerbaijan
KHM,Poland
Kieft,United Kingdom
Kimera,Italy
Kissel,United States
Knight,United Kingdom
Knox,United States
Krastin,United States
Krugger,Belgium
Kyburz,Switzerland
L'Élégante,France
Lacoste & Battmann,France
LaFayette,United States
Laffite,United States
Lambert,France
Lanark,United States
Landwind,China
Lanzante,United Kingdom
Laraki,Morocco
Larkin,United Kingdom
Laurin & Klement,Czechia
LeEco,China
Lenox,United States
Li Auto,China
Lightyear,Netherlands
Lister,United Kingdom
Lobini,Brazil
Local Motors,United States
Locomobile,United States
Longbow,United Kingdom
Lorenz & Rankl,Germany
Lorinser,Germany
LuAZ,Ukraine
Lumma Design,Germany
Luvly,Sweden
Luxeed,China
Luxgen,"Taiwan, Province of China"
Luxor,United States
LVCHI,China
Lyonheart,United Kingdom
M & L,United Kingdom
M-Hero,China
M.M.C.,United Kingdom
Magirus,Germany
Magirus-Deutz,Germany
Magna Steyr,Austria
Magnum,Canada
Mako,Germany
Malibu,Germany
Mallock,United Kingdom
MANHART,Germany
Mansory,Germany
Manta,United States
Marauder,United Kingdom
March,United Kingdom
Marcopolo,Brazil
Marquette,United States
Martini,Switzerland
Marussia,Russian Federation
Mastretta,Mexico
Mathis,France
Maxim,United Kingdom
Maxton,United States
Maxwell,United States
Mazzanti,Italy
McLaughlin,Canada
McMurtry,United Kingdom
Meier,Germany
Melkus,Germany
Mercedes,Germany
Mercedes-Simplex,Germany
Mercer,United States
Merkur,Germany
Merlyn,United Kingdom
Metz,United States
MEV,China
Mia Electric,France
Micro-Vett,Italy
Midget Motors,United States
Mikrus,Poland
Miles,United States
Miller Motorcars,United States
Minelli,Switzerland
Mitsubishi Fuso,Japan
Miura,Brazil
MMI,Poland
Mobilize,France
Monte Carlo,Monaco
Moon,United States
Mors,France
Mosler,United Kingdom
Motobloc,France
Motto,Italy
MP Lafer,Brazil
MPM,France
MTM,Germany
MTX,Czechia
Murtaya,United Kingdom
NAG,Germany
NamX,France
NanoFlowcell,Liechtenstein
Napier,United States
Naran,United Kingdom
Nardone,France
National,United States
National Coaches,United States
Neta,China
Next.e.GO,Germany
NIels van Roij Design,Netherlands
Nimbus,Denmark
Nobe,Estonia
Nobel,Germany
Nord,Nigeria
Northern,United States
Nota,Australia
Novitec,Germany
NSU-Fiat,Germany
Oettinger,Germany
Ogle,United Kingdom
Ohta,Japan
Oltcit,Romania
Omoda,China
Onvo,China
Onyx,United States
OSC,Latvia
OSI,Italy
Oullim,"Korea, Republic of"
Pagani,Italy
Paige,United States
PAL-V,Netherlands
Palomino RV,United States
Panoz,United States
Pantore,France
PAZ,Russian Federation
Peaceyuli,China
Peel,United Kingdom
Peerless,United States
Pegaso,Spain
Pennington,United Kingdom
Perodua,Malaysia
PGO,France
Phantom,Sweden
Phelon & Moore,United Kingdom
Phelps Motor Vehicle,United States
Phillips,United States
PhoeniX,Germany
Phoenix (US),United States
Pickman,United States
Piëch,Switzerland
Pierce Cycle,United States
Pierce Manufacturing,United States
Pilain,France
Piper Cars,United Kingdom
PK,United Kingdom
Pogea Racing,Germany
Pope,United States
Pope-Hartford,United States
Porsche-Diesel,Germany
Praga,Czechia
Premier,India
Prodrive,United Kingdom
Puritalia,Italy
Qiantu,China
Qiteng,China
Qoros,China
Qvale,Italy
Radar,China
RAF,Latvia
Rally,France
Ralt,Australia
Ranger,South Africa
Ranz,China
Rauch & Lang,United States
Ravon,Uzbekistan
Razor,United States
REAF,Latvia
Regal,United States
Rely,China
Renault Samsung,"Korea, Republic of"
RENNtech,United States
Reynard,United Kingdom
Rezvani,United States
Rickenbacker,United States
Riich,China
Rimac,Croatia
Rinspeed,Switzerland
Riversimple,United Kingdom
Rivian,United States
RML,United Kingdom
Rochet-Schneider,France
Roding,Germany
Roewe,China
Röhr,Germany
Rometsch,Germany
Ronart,United Kingdom
Rošero,Slovakia
Rossion,United States
Rotrax,United Kingdom
Roustabout,United States
Rovin,France
Royal,United States
Royal Enfield,United Kingdom
Royale,United Kingdom
RS Motorhomes,United Kingdom
Rumpler,Germany
Rupp,United States
Rush,United States
Russo-Balt,Russian Federation
Sabra,Israel
Sacrilege Motors,United States
SAIC,China
Saipa,"Iran, Islamic Republic of"
Salmson,France
Sandusky Automobile,United States
Sanyou,China
Sao,United States
Sauber,Switzerland
Sbarro,Switzerland
Schüttoff,Germany
Schwinn-Whizzer,United States
Scott Motorcycle,United Kingdom
Scout,United States
Scuderia Cameron Glickenhaus,United States
SeAZ,Russian Federation
Sebring-Vanguard,United States
Secma,France
Sector111,United States
Sehol,China
Selve,Germany
Senova,China
Share2Drive,Germany
Sharky,Italy
Shayton,Slovenia
Shell,Netherlands
Shuanghuan,China
Siam Di Tella,Argentina
Silence,Spain
Simplex,United States
Simson,Germany
Sin Cars,Germany
Sinclair,United Kingdom
Singer Vehicle Design,United States
Sinogold,China
Sinski,China
SISU Auto,Finland
SkyNomad,China
Skyworth,China
Slaby-Beringer,Germany
SMA,China
SMZ,Russian Federation
SOL,China
Solectria,United States
Sony,Japan
Soueast,China
Speedwell,United States
Spyker,Netherlands
Squire,United Kingdom
SRT,United States
SSC,United States
Stabilimenti Farina,Italy
Stanguellini,Italy
Star (UK),United Kingdom
STARTECH,Germany
Statesman,Australia
Stearns-Knight,United States
Sterling,United Kingdom
Sterling Trucks,United States
Stevens-Duryea,United States
Steyr,Austria
Steyr-Puch,Austria
Sussita,Israel
SVE,United States
SVS,Italy
Swebe,Sweden
SWM,China
T-King,China
TagAZ,Russian Federation
TARK,Estonia
Tata,India
Tauro,Spain
Tazzari,Italy
TEC,Germany
Techrules,China
Tedson,United States
Tekaydinlar,Türkiye
Tensor,United States
Thai Rung,Thailand
Thomas,United States
Thornycroft,United Kingdom
Thunder Power,"Taiwan, Province of China"
Tiga,United Kingdom
TMS,China
TMZ,Russian Federation
Tofaş,Türkiye
Togg,Türkiye
Tony Huber,France
Top Secret,Japan
Toroidion,Finland
Totem Automobili,Italy
Touring Superleggera,Italy
Tramontana,Spain
TransAm Depot,Andorra
Traum,China
Trident,United Kingdom
Trigano,France
Trion,United States
TriVette,United States
Troller,Brazil
Trumpchi,China
Tucker,United States
Turner,United Kingdom
Tushek,Austria
TWR,United Kingdom
UMM,Portugal
Unic,France
UNO,Sweden
UNVI,Spain
UralZIS,Russian Federation
VAM,Mexico
Van Diemen,United Kingdom
Vanda Electrics,Singapore
Vanderhall,United States
Vantage,United States
Varsovia,Poland
VB Automotive,Sweden
Vector Motors,United States
Vega,Sri Lanka
Vehixel,France
Vencer,Netherlands
Venturi,France
Venucia,China
Victress,United States
Viking,United States
Vincent Motorcycles,United Kingdom
VinFast,Viet Nam
Viritech,United Kingdom
VLF,United States
VOLT,Argentina
Volvo Construction Equipment,Sweden
Vortex,Russian Federation
Voyah,China
VPMZ,Russian Federation
VUHL,Mexico
W Motors,United Arab Emirates
Wallys,Tunisia
Wanderer Motorcycles,Germany
Weber,Switzerland
Weiwang,China
Weltmeister,China
Westfalia Mobil,Germany
Westfield,United Kingdom
White,United States
Williams,United Kingdom
Willys-Knight,United States
Winnebago,United States
Winton,United States
Worblaufen,Switzerland
Wuling,China
Xiali,China
Xiaomi,China
Yale,United States
Yangwang,China
Yaxa,Switzerland
Yema,China
Yes!,Germany
Youngman Lotus,China
Yugo,Serbia
Yulon,"Taiwan, Province of China"
ZAP,United States
Zarooq Motors,United Arab Emirates
Zedriv,China
Zender,Germany
Zenith Motorcycles,United Kingdom
ZENN,Canada
Zenos,United Kingdom
Zenvo,Denmark
ZiL,Russian Federation
Zinoro,China
ZiS,Russian Federation
ZNA,China
Zoe,United States
Zotye,China
ZX,China
212,China
9FF,Germany
ɛ̃fini,Japan
